id,title,medium,year,place,story,price,theme,colour,featured
Toshka_0,Toshka's Mirage - From Vision to Void / Bread and Bloom,photo,2025,"Royal College of Art, London","Bread & Bloom investigates Egypt’s abandoned Toshka desert reclamation project, exploring themes of environmental transformation, systemic failure, and resilience. The project reimagines this desert landscape through participatory design, working with the concept of a fictional women farmers’ collective to test sustainable agricultural and architectural strategies. Using tools such as 3D modelling, animation, and narrative storytelling, the work examines how infrastructure, ecology, and community intersect, offering an alternative vision for a site shaped by both ambition and collapse.",,,,
VeiledThreads_0,"Veiled Threads, Unveiled Stories",photo,2025,"Royal College of Art, London",,,,,
crochet_0,Craft Forward - Knit for London,,,,,,,,
craftforward_1,Craft Forward - Knit for London,,,,,,,,
flowervase_0,,,,,,,,,
